Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor
marcapata.txt, 1, 0, 0, 0, 6.207s, 6.077s, 6.345s, A1L_Sem_Cores
marcapata.txt, 2, 0, 0, 0, 72.275s, 25.364s, 208.382s, A1L_Sem_Cores
mbya.txt, 1, 0, 0, 0, 1.653s, 1.743s, 1.93s, A1L_Sem_Cores
mbya.txt, 2, 0, 0, 0, 9.811s, 4.385s, 25.392s, A1L_Sem_Cores
xv.txt, 1, 0, 0, 0, 0.142s, 0.139s, 0.151s, A1L_Sem_Cores
xv.txt, 2, 0, 0, 0, 2.61s, 0.844s, 4.666s, A1L_Sem_Cores
zo.txt, 1, 0, 0, 0, 0.449s, 0.472s, 0.535s, A1L_Sem_Cores
zo.txt, 2, 0, 0, 0, 1.817s, 0.785s, 4.337s, A1L_Sem_Cores



ap.txt, 1, 0, 0, 0, 1.031s, 0.859s, 0.942s, A1L_Sem_Cores
ap.txt, 2, 0, 0, 0, 3.328s, 1.649s, 9.253s, A1L_Sem_Cores
Arara4MaqPar.txt, 1, 0, 0, 0, 0.22s, 0.279s, 0.298s, A1L_Sem_Cores
Arara4MaqPar.txt, 2, 0, 0, 0, 6.48s, 2.369s, 6.369s, A1L_Sem_Cores
chacobo_fem.txt, 1, 0, 0, 0, 7.622s, 9.073s, 9.508s, A1L_Sem_Cores
chacobo_mas.txt, 1, 0, 0, 0, 8.105s, 9.011s, 8.965s, A1L_Sem_Cores
deni.txt, 1, 0, 0, 0, 0.883s, 0.938s, 1.239s, A1L_Sem_Cores
deni.txt, 2, 0, 0, 0, 26.271s, 8.318s, 25.373s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0, 0, 0, 0.525s, 0.481s, 0.579s, A1L_Sem_Cores
EN4MaqPar.txt, 2, 0, 0, 0, 1.484s, 0.743s, 3.115s, A1L_Sem_Cores
im.txt, 1, 0, 0, 0, 0.38s, 0.38s, 0.411s, A1L_Sem_Cores
