Nome, Numero_Casamentos, Algoritmo_1_Linear_Sem_Cores, Algoritmo_1_Linear_Com_Cores, Algoritmo_1_Paralelo, Algoritmo_2_Linear, Algoritmo_2_Paralelo, Algoritmo_3, Melhor
chacobo_fem.txt, 1, 9.831s, 7.852s, 8.626s, 10.063s, 11.837s, 11.209s, A2L
chacobo_mas.txt, 1, 9.445s, 7.948s, 8.31s, 9.961s, 10.591s, 10.669s, A2P
deni.txt, 1, 1.264s, 0.845s, 1.026s, 1.946s, 1.892s, 1.887s, A1L_Com_Cores
deni.txt, 2, 180.614s, 28.827s, 6.476s, 26.419s, 7.629s, 22.18s, A1L_Sem_Cores
EN4MaqPar.txt, 1, 0.483s, 0.542s, 0.69s, 1.045s, 1.201s, 1.041s, A1L_Sem_Cores
EN4MaqPar.txt, 2, 2.729s, 1.339s, 0.764s, 2.136s, 1.607s, 2.797s, A1P
im.txt, 1, 0.408s, 0.391s, 0.418s, 0.802s, 0.76s, 0.831s, A1L_Com_Cores
im.txt, 2, 5.649s, 1.737s, 0.617s, 2.029s, 0.974s, 2.777s, A1P
kraho.txt, 1, 2.849s, 1.988s, 2.922s, 5.082s, 5.274s, 4.917s, A1L_Com_Cores
kraho.txt, 2, 242.381s, 39.421s, 11.725s, 35.364s, 12.977s, 30.782s, A1P
marcapata.txt, 1, 4.868s, 4.722s, 5.158s, 16.323s, 15.156s, 15.042s, A3
marcapata.txt, 2, 50.535s, 50.735s, 15.63s, 77.754s, 35.975s, 179.97s, A1P
mbya.txt, 1, 1.512s, 1.45s, 1.832s, 5.047s, 4.285s, 4.521s, A1L_Com_Cores
mbya.txt, 2, 9.495s, 7.303s, 3.072s, 12.055s, 7.57s, 22.156s, A2L
xv.txt, 1, 0.103s, 0.092s, 0.106s, 0.218s, 0.183s, 0.191s, A1L_Com_Cores
xv.txt, 2, 3.515s, 2.096s, 0.6s, 2.27s, 0.891s, 3.076s, A1P
zo.txt, 1, 0.51s, 0.481s, 0.625s, 1.631s, 1.317s, 1.332s, A1L_Com_Cores
zo.txt, 2, 5.042s, 1.609s, 0.675s, 2.729s, 1.618s, 4.082s, A1P



