Anel, Ego0, SxEgo0, Alter0, SxAlter0, Ego1, SxEgo1, Alter1, SxAlter1, Percurso, BarryPercurso, Parente, Casal0, Casal1, Geração0, Lateral0, Geração1, Lateral1, Cnx0, Cnx1
1372, 2458, m, 2460, f, 2805, m, 2803, f, 2458 2440 2796 2798 2530 2803 2805 2739 2264 2608 2267 2460 , m2458 f2440 f2796 (f2798) f2530 f2803 m2805 f2739 (m2264) f2608 m2267 f2460 , MMMDDHMFDSD, 2458 2460, 2803 2805, G1, 2, G-1, 2, 6, 5
1373, 2466, m, 2463, f, 2464, m, 2461, f, 2466 2212 2358 2511 2512 2464 2461 2219 2463 , m2466 f2212 m2358 (m2511) m2512 m2464 f2461 (m2219) f2463 , MFFSSWFD, 2463 2466, 2461 2464, G1, 2, G0, 1, 6, 2
1374, 2466, m, 2463, f, 2464, m, 2461, f, 2466 2212 2358 2511 2512 2464 2461 2220 2463 , m2466 f2212 m2358 (m2511) m2512 m2464 f2461 (f2220) f2463 , MFFSSWMD, 2463 2466, 2461 2464, G1, 2, G0, 1, 6, 2
1375, 2464, m, 2461, f, 4918, m, 2520, f, 2464 2512 2520 4918 4711 6515 2842 2836 2437 2220 2461 , m2464 (m2512) f2520 m4918 f4711 f6515 (m2842) f2836 f2437 f2220 f2461 , FDHMMFDDDD, 2461 2464, 2520 4918, G0, 1, G-1, 3, 3, 7
1376, 2464, m, 2461, f, 4918, m, 2520, f, 2464 2515 2520 4918 4711 6515 2842 2836 2437 2220 2461 , m2464 (f2515) f2520 m4918 f4711 f6515 (m2842) f2836 f2437 f2220 f2461 , MDHMMFDDDD, 2461 2464, 2520 4918, G0, 1, G-1, 3, 3, 7
1377, 2464, m, 2461, f, 4918, m, 2520, f, 2464 2512 2520 4918 4711 6515 2843 2836 2437 2220 2461 , m2464 (m2512) f2520 m4918 f4711 f6515 (f2843) f2836 f2437 f2220 f2461 , FDHMMMDDDD, 2461 2464, 2520 4918, G0, 1, G-1, 3, 3, 7
1378, 2464, m, 2461, f, 4918, m, 2520, f, 2464 2515 2520 4918 4711 6515 2843 2836 2437 2220 2461 , m2464 (f2515) f2520 m4918 f4711 f6515 (f2843) f2836 f2437 f2220 f2461 , MDHMMMDDDD, 2461 2464, 2520 4918, G0, 1, G-1, 3, 3, 7
1379, 2589, m, 2541, f, 2464, m, 2461, f, 2589 2115 2358 2511 2512 2464 2461 2219 2605 2607 2526 2527 2532 2541 , m2589 m2115 m2358 (m2511) m2512 m2464 f2461 m2219 f2605 (m2607) f2526 m2527 m2532 f2541 , FFFSSWFMFDSSD, 2541 2589, 2461 2464, G1, 2, G-1, 3, 6, 7
1380, 2589, m, 2541, f, 2464, m, 2461, f, 2589 2115 2358 2511 2512 2464 2461 2219 2605 6117 2526 2527 2532 2541 , m2589 m2115 m2358 (m2511) m2512 m2464 f2461 m2219 f2605 (f6117) f2526 m2527 m2532 f2541 , FFFSSWFMMDSSD, 2541 2589, 2461 2464, G1, 2, G-1, 3, 6, 7
1381, 2671, m, 2675, f, 2464, m, 2461, f, 2671 2517 2512 2464 2461 2219 2605 2607 2526 2527 2677 2675 , m2671 m2517 (m2512) m2464 f2461 m2219 f2605 (m2607) f2526 m2527 f2677 f2675 , FFSWFMFDSDD, 2671 2675, 2461 2464, G1, 1, G-1, 3, 4, 7
1382, 2671, m, 2675, f, 2464, m, 2461, f, 2671 2517 2515 2464 2461 2219 2605 2607 2526 2527 2677 2675 , m2671 m2517 (f2515) m2464 f2461 m2219 f2605 (m2607) f2526 m2527 f2677 f2675 , FMSWFMFDSDD, 2671 2675, 2461 2464, G1, 1, G-1, 3, 4, 7
